编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,-若曦若惜-,505675593,大伯伯handsome,26183516,回复 @nobody1987 : 你是认真的？我让newbing写情况说明、活动方案，飙的字比gpt3.5多得多，我想知道你是怎么提问的,2023-05-27 18:14,0
0,二级评论,-若曦若惜-,505675593,狂人家唐门,178647881,搞个poe会员，Claude和gpt4都可以用,2023-05-31 11:58,0
0,二级评论,-若曦若惜-,505675593,飞飞小葱鸡,434956687,newbing是真不如gpt，除了能联网其他方面就是被吊打,2023-05-31 13:30,0
0,二级评论,-若曦若惜-,505675593,让我的心去流浪,254574178,我觉得newbing早上的时候比较聪明，晚上的时候瞎编还编的不对，有可能是算力的问题,2023-06-02 17:32,0
0,二级评论,-若曦若惜-,505675593,让我的心去流浪,254574178,回复 @nobody1987 : 你不会提问，newbing同样可以输出很长的文字，可以尝试先让newbing给出大纲，然后你对大纲进行微调，让他补充每个子内容的部分，最后可以让newbing结合所有子部分，要求它打通上下文，给出最后的完整内容,2023-06-02 17:37,1
0,二级评论,-若曦若惜-,505675593,来一包薯条,293987621,new bing就是gpt4，考虑到微软开除了道德审查部门，大小姐实至名归,2023-06-02 23:09,0
0,二级评论,-若曦若惜-,505675593,帝星_verse,601388412,回复 @尚笑肌块 :palm2驱动bard，而且Bing就是由GPT4驱动。,2023-06-05 12:13,0
0,二级评论,-若曦若惜-,505675593,wault511,70468965,回复 @回老家结婚的狂三 :应该被限制削弱了,2023-06-05 22:47,0
0,二级评论,-若曦若惜-,505675593,wault511,70468965,Claude提供的网址，数据来源，我就没碰到有能够打开的,2023-06-05 22:48,0
0,二级评论,-若曦若惜-,505675593,蚩壬的大鲨鱼,29577967,cosplay机器人了解一下，GPT-4及插件都能用,2023-06-07 12:05,0
0,二级评论,-若曦若惜-,505675593,黄果先生,342908994,回复 @qasxcvfg : 现在开放了吗？PC浏览器访问的网址是？,2023-09-01 12:14,0
1,一级评论,up主,up主,路彦祖-,38849559,Newbing以前确实离谱，我记得一个月以前问过一个问题，how to pursue a girl.NewBing的回答里有一条keep pursuing even she's married.把我惊了,2023-05-16 03:22,138
1,二级评论,路彦祖-,38849559,busthole,35429955,如何燃烧卡路里？谷歌：运动，跑步必应：把麦当劳烧了,2023-05-17 12:20,35
1,二级评论,路彦祖-,38849559,逼逼逼逼咦,16961570,？？雷霆崖归微软管了？,2023-05-18 16:46,0
1,二级评论,路彦祖-,38849559,醒悟的木又君,343218543,回复 @busthole :woc怎么你们的NB这么nb，我的NB很喜欢搜索问题,2023-06-02 23:13,0
1,二级评论,路彦祖-,38849559,涞觅搜查官01,102671537,回复 @超级小㘶的日常 : 我都感觉我的NB和他们的不一样，NB给我的感觉是个带有只能回复的搜索引擎而已。可能是我的Prompt有问题,2023-06-06 08:43,0
1,二级评论,路彦祖-,38849559,月学月废,186826874,曹贼,2023-08-13 14:11,0
2,一级评论,up主,up主,六术儿,351806691,其实让AI学会计算很简单，在训练的当中告诉ai如何计算公式的方法，回答数学问题的时候，先过计算公式，然后再解答现在模型的训练都是推理，然后解答，根本就没有计算，所以数学题根本就不可能算对，因为AI压根就没算，这就跟人看到6位数计算但只瞄了一眼根据推理说个大概一样,2023-05-15 01:14,57
2,二级评论,六术儿,351806691,Die_Harmonie,2564429,不用那么复杂，直接允许它调用数学计算的api就好，专业数学计算工具哪一个不比它自己算来的方便高效,2023-05-16 06:43,9
2,二级评论,六术儿,351806691,為卦者,499508460,回覆 @Die_Harmonie :同樣是ai人家就做得到,2023-05-16 13:27,0
2,二级评论,六术儿,351806691,陈恚,175942228,不必胡说，是up问题,2023-05-16 19:08,2
3,一级评论,up主,up主,怜昕_,1922342,测试不带chatgpt4感觉不太认可，4对于3.5的提升也算降维打击了，3.5给人感觉是形式上懂，但实际没懂。而4给人感觉是真的有脑子的，尤其针对推理，提升太显著了,2023-05-15 22:36,383
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,可还是回答不出：一条裤子进价60元，卖80元，老板收了100元假钱，老板亏了多少钱这个问题,2023-05-16 11:14,4
3,二级评论,怜昕_,1922342,bili_59067821594,3493260408392631,回复 @拆二代也有劳力士 :你觉得是80还是100,2023-05-16 17:52,0
3,二级评论,怜昕_,1922342,朝武妃爱,31829184,回复 @bili_59067821594 : 不算房租电费就60。。哪有80和100,2023-05-16 18:38,0
3,二级评论,怜昕_,1922342,朝武妃爱,31829184,回复 @bili_59067821594 : 正常玩假钱的都不会让老板找，除非那玩意是个毛手,2023-05-16 18:39,0
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,回复 @bili_59067821594 :裤子-60找零-20利润-20单算亏损就是80元也就是生意没有做成就不算利润的情况下要是和成功交易的结果做比较就是-100，也就是如果这波没有收到假钱就是0亏损，亏损的就是收到假钱的那100块,2023-05-16 18:52,10
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,回复 @bili_59067821594 :GTP-4的问题就在于他只考虑你跟他说的那些，它没有想到还有找零的20块，它计算的结果是60块，也就是它认为就单单亏了一条裤子,2023-05-16 18:55,4
3,二级评论,怜昕_,1922342,唱歌的小象,99365893,最近开放了plugins,2023-05-16 21:20,2
3,二级评论,怜昕_,1922342,奕小黑,12663586,回复 @拆二代也有劳力士 : 不同人对亏的理解都不一样，这题答案就不一样。出题者本来就是出来耍人的，ai没必要会回答这种问题。类似1+1=几，可以=王，但我希望ai永远给不出这个答案。,2023-05-16 22:53,7
3,二级评论,怜昕_,1922342,bili_59067821594,3493260408392631,回复 @拆二代也有劳力士 :评论区已经有3个答案了，我很难认为我思考得比gpt更周全,2023-05-17 00:02,2
3,二级评论,怜昕_,1922342,bili_59067821594,3493260408392631,回复 @拆二代也有劳力士 :生成答案的时候，如果tokenizer里面用torch的generate里按照prob/sum来的话，生成的nexttoken就会是语料库里面更常见的,2023-05-17 00:04,0
3,二级评论,怜昕_,1922342,冧天天,27635535,回复 @拆二代也有劳力士 :我刚问的gpt4：这个问题实际上是一个经济学和会计学的问题，它考察的是你对成本和收益的理解。我们来逐步分析这个问题：1. 首先，老板买进一条裤子的成本是60元。2. 然后，老板将这条裤子卖出去，定价为80元。但是，买家给的是100元假钱。3. 这里的关键点是，假钱实际上是没有价值的。这意味着老板实际上并没有收到任何收入，但他已经失去了裤子。4. 除此之外，老板还找给了买家20元真钱作为找零。所以，老板的总损失是他付出的成本（即他失去的裤子的进价60元）加上他给买家的找零（20元真钱），总共是60元+20元=80元。因此，老板亏了80元。我严重怀疑你到底用过没有,2023-05-17 00:20,21
3,二级评论,怜昕_,1922342,账号已注销,1685581082,回复 @bili_59067821594 :80啊，60元成本+20元找零，不过这只包括金钱成本没算时间成本,2023-05-17 00:54,0
3,二级评论,怜昕_,1922342,计算机病毒up主,304893083,要不你先理解一下什么是降维打击？,2023-05-17 03:49,1
3,二级评论,怜昕_,1922342,清游净迹,1505940957,回复 @冧天天 :对的，没毛病，就是80,2023-05-17 08:11,1
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,回复 @奕小黑 :优秀的AI是要给出不同的观点和不同的答案，而不是流程化对答和复读，Claude回答的方式就是：通常就是这样，但也不一定例如：太阳不一定从东边出来，1+1不一定等于2，荒野求生不一定先找水和食物,2023-05-17 09:20,2
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,回复 @奕小黑 :我们需要的是AI帮助我们思考，不是能让AI代换我们回答，前者是让你强大，后者是让你废掉,2023-05-17 09:24,2
3,二级评论,怜昕_,1922342,拆二代也有劳力士,381750128,回复 @冧天天 : 问题你有没有跟GTP提到过找零，我的提问是没有提到找零，也就是要让AI主动意识到还有找零的20块并加入到计算当中来，但是我使用GTP-4时它没有想到找零的20块，那结果肯定就错了,2023-05-17 09:31,0
3,二级评论,怜昕_,1922342,哔哩百里晴川,1853260647,回复 @朝武妃爱 :卖80你不得找20啊，60+20等于80,2023-05-17 10:07,0
3,二级评论,怜昕_,1922342,怜昕_,1922342,回复 @计算机病毒up主 :要不你先用一下chatgpt4?,2023-05-17 11:33,4
3,二级评论,怜昕_,1922342,朝武妃爱,31829184,回复 @哔哩百里晴川 :玩假钱还敢让人找钱？我们这边以前搞假钱的都不要找钱的避免被人惦记,2023-05-17 12:14,0
3,二级评论,怜昕_,1922342,权寄人间,497599555,回复 @拆二代也有劳力士 : Q：这是一个数学问题，请仔细思考，给出正确答案：一条裤子进价60元，售价80元。老板收了顾客100元，给顾客找零20元，但事后发现这张一百元是假钞。请问老板亏了多少钱？A:在这种情况下，老板亏了：进价的60元（因为货物已经被卖出去）+ 找零给顾客的20元 = 60 + 20 = 80元。由于100元是假钞，所以老板实际上没有收到任何有效的收入。因此，老板的亏损共计80元。GPT的核心在于“猜测”下一个字应该说什么。所以可能会出现“嘴比脑子快”的情况。只需要提示它，【这是一道题】【一步一步地思考】【仔细考虑】等，它的准确率会高很多。,2023-05-17 15:26,1
3,二级评论,怜昕_,1922342,Xiaogang729,19012121,回复 @朝武妃爱 :不要把你们那边的习惯加进去，我们这边你不找零人家反而更能看出端倪，这能说明什么？,2023-05-17 17:10,0
3,二级评论,怜昕_,1922342,哔哩百里晴川,1853260647,回复 @朝武妃爱 :你去买衣服，人家要80，你给100，然后说不用找了？,2023-05-17 20:18,0
3,二级评论,怜昕_,1922342,德充符_,382044926,我刚问gpt4的答案这个问题可以通过以下步骤来推理：裤子的成本：老板购买裤子的成本是60元。裤子的售价：老板将裤子卖出去的价格是80元。收到的钱：老板收到了100元假钱，这些钱实际上没有任何价值。找零：老板还要找回20元真钱给顾客。所以，老板的总损失是：裤子的成本（60元）收到的假钱（100元假钱实际上等于0元真钱）找零给顾客的钱（20元）总的来说，老板的损失是60元（裤子的成本）+ 20元（找零）= 80元。,2023-05-17 23:44,44
3,二级评论,怜昕_,1922342,bili_54413431192,1678254141,回复 @拆二代也有劳力士 : 那也要做出正确答案。要不然全是错误的干扰项，自己编的文献，这帮的了谁？,2023-05-18 09:44,0
3,二级评论,怜昕_,1922342,拓仙人讲故事,430381662,回复 @拆二代也有劳力士 : 80还是100，算不算没赚到的利润，这连人类都模棱两可。,2023-05-18 11:00,0
3,二级评论,怜昕_,1922342,nobody1987,8747653,要是算上损失的利润，应该是100，不算利润的话80,2023-05-18 15:52,0
3,二级评论,怜昕_,1922342,两只小猫的铲屎官,257363267,回复 @nobody1987 :你这逻辑就不对。那我今天卖裤子本来对方要买但是对方最后有事走了。是不是也损失了20。损失就是按实际损失，不能说什么损失的利润，那都不是你得财产怎么叫损失。,2023-05-27 02:05,1
3,二级评论,怜昕_,1922342,nobody1987,8747653,回复 @两只小猫的铲屎官 :我说的利润损失是以是否成交作为界限的，如果成交，则一定要有期望利润入账，如果未成交，则没有期望利润。你举的例子没有发生购买行为，当然不算利润损失。,2023-05-27 07:50,0
3,二级评论,怜昕_,1922342,两只小猫的铲屎官,257363267,回复 @nobody1987 :你直接说损失多少利润，就直接能回答。损失是损失，不包含你说的利润损失。,2023-05-27 08:50,0
3,二级评论,怜昕_,1922342,nobody1987,8747653,回复 @两只小猫的铲屎官 :所以就是如何界定损失这个词的界限啊，又不是所有人对损失的界定都是统一的，我只是明确的指出了这一点。,2023-05-27 19:27,0
3,二级评论,怜昕_,1922342,火hitachi,948132,4还没用过。3.5调教起来确实是。跟他说了一大堆它还是没懂,2023-05-31 10:01,0
3,二级评论,怜昕_,1922342,蓝天解说吖1,1569055660,《20美元》其他的不要money,2023-06-03 10:23,0
3,二级评论,怜昕_,1922342,英伟达是狗,451675076,回复 @nobody1987 : 损失怎么能算利润 利润是你要能得到的 我说我没买彩票损失一亿 这不是胡扯,2023-06-06 18:22,0
3,二级评论,怜昕_,1922342,英伟达是狗,451675076,回复 @nobody1987 : 要是还不明白 不妨换个思路 要是一家店烧了 进价100万 你跟保险公司索赔150万 你看保险公司吊不吊你,2023-06-06 18:31,0
3,二级评论,怜昕_,1922342,nobody1987,8747653,回复 @英伟达是狗 :不会举例可以不举。我说的算上利润的损失，是基于期望获取的利润上的损失。在计算期望利润的时候，一定是基于成交这个行为计算的，只要成交了，我就应该获取期望的利润。就这个例子中，只要卖出去了，那我期望获取的利润就=售价-成本，不管你收到真钱还是假钱，因为那只影响实际获取的利润。我谈的是期望，OK？你买彩票和卖衣服能一样？你中奖就是一个概率事件，它的期望利润应该=中奖概率×奖金-成本，这基本属于一个负数，所以你买彩票的期望利润根本不能是一个亿！,2023-06-07 07:55,0
3,二级评论,怜昕_,1922342,马囮疼,3493124097706835,如果说台湾的话，是直接不能有任何问题回答的，但是tw的话可以回答一些，但是还没有等加载出来就会被撤回。,2023-06-09 23:21,0
3,二级评论,怜昕_,1922342,马囮疼,3493124097706835,回复 @马囮疼 :不，鲁迅和周树人是不同的人。鲁迅和周树人都是中国现代文学史上知名的文学家和革命家，但是他们是不同的个体。鲁迅全名是周树人，但他后来更改姓名并以“鲁迅”为笔名，以避免与与周作人等其他人混淆。因此，鲁迅和周树人是两位不同的人物，有各自独立的身份和成就。很有道理的样子。,2023-06-09 23:28,0
3,二级评论,怜昕_,1922342,GPT研究者,665838246,好视频赞了公重《九点分》有gpt和mid的共用账户和帮订阅和小白教程。up肯定是必须要优先～,2023-08-03 13:40,0
3,二级评论,怜昕_,1922342,GPT研究者,665838246,好视频赞了公重《九点分》有gpt和mid的共用账户和帮订阅和小白教程。up肯定是必须要优先～,2023-08-03 13:49,0
3,二级评论,怜昕_,1922342,淡淡的歌ii,626645109,回复 @拆二代也有劳力士 :老板的亏损可以从两个方面来计算：首先，老板用60元的成本购买了这条裤子，然后以80元的价格卖出，但是收到的是100元的假钱，这部分亏损了20元。其次，老板还损失了找零的钱。由于收到的是100元的假钱，实际上相当于没有收到任何钱，但是老板仍然给了顾客找零，即 100\text{元}-80\text{元}=20\text{元}。所以，老板总共亏损的金额是 60+20 =80元。,2023-08-18 20:28,0
3,二级评论,怜昕_,1922342,淡淡的歌ii,626645109,回复 @拆二代也有劳力士 :刚刚这个是讯飞星火的，没有说找零,2023-08-18 20:30,0
3,二级评论,怜昕_,1922342,淡淡的歌ii,626645109,回复 @火hitachi :感觉现在的讯飞星火和文心都能平替3.5了，我刚刚问讯飞能完美解答，问文心后面说了下找零也能回答正确,2023-08-18 20:35,0
4,一级评论,up主,up主,火龙果可好吃了,300796517,我实测(文心一言和gpt3.5-turbo api)，在于较难的问题，比如数学的代数问题，一些数论问题，算法问题，文心一言完败(它甚至不能理解问题)，而chatgpt几乎每次都能理解问题，但多次询问才能得到一次正确答案，也就是经常胡扯，偶尔懵对。在翻译上，chatgpt能很好的翻译带有公式，化学式和等等各个学科特定格式的文本(但是需要调模型的一些参数值)，文心一言也完败，它甚至意识不到这个地方是化学式或者公式。up你问的那些问题，我个人认为都太简单了，完全到不了生产力的程度，也检测不出各模型的真正能力,2023-05-20 10:20,22
5,一级评论,up主,up主,祝西片和太太早日出千,267708609,观感不错，up会火的，百度的还可以试试网页版ai搜索（对标bing的，能联网，聪明一些）,2023-05-14 19:01,32
5,二级评论,祝西片和太太早日出千,267708609,实验室小陈,523387410,他用的chatgpt3.5  用4.0能爆杀这些,2023-05-14 20:31,1
5,二级评论,祝西片和太太早日出千,267708609,严酥大人,107680927,我10号的时候开放了搜索版的测试，明天晚上回去之后我就尝试一下！,2023-05-14 20:35,3
5,二级评论,祝西片和太太早日出千,267708609,夏日幻想岛,434431263,网址是什么？,2023-05-14 22:17,2
5,二级评论,祝西片和太太早日出千,267708609,祝西片和太太早日出千,267708609,回复 @夏日幻想岛 :有文心的内测资格打开百度app开通就能用,2023-05-14 22:44,2
5,二级评论,祝西片和太太早日出千,267708609,不归鹿233,313254622,好像除文心一言网页版外其他的中国ai都没连网,2023-05-15 01:04,2
5,二级评论,祝西片和太太早日出千,267708609,过往125,1887295685,没有内测资格就会打不开,2023-05-15 05:32,0
5,二级评论,祝西片和太太早日出千,267708609,-若曦若惜-,505675593,回复 @不归鹿233 :讯飞星火说能联网查询，但是给我的网址没一个能打开的,2023-05-15 14:15,2
6,一级评论,up主,up主,猪灵姐姐身体健康,3493281478478714,Claude测试不应该在poe里面测试，poe里面加了限制，要真测试要到slack里面,2023-05-15 01:40,32
6,二级评论,猪灵姐姐身体健康,3493281478478714,奔月未遂,394531606,你这话说的，你怎么不让人花钱测claude+和claude100k呢？,2023-05-15 01:44,3
6,二级评论,猪灵姐姐身体健康,3493281478478714,巴鲁尼战士,403546650,对，poe的都是阉割版,2023-05-15 08:04,1
6,二级评论,猪灵姐姐身体健康,3493281478478714,bili_72179985593,1177113684,回复 @奔月未遂 :up测的都是免费版,2023-05-16 01:36,0
6,二级评论,猪灵姐姐身体健康,3493281478478714,中野纱雾,433337256,回复 @巴鲁尼战士 :poe的3.5也是阉割版吗,2023-05-16 08:37,0
6,二级评论,猪灵姐姐身体健康,3493281478478714,巴鲁尼战士,403546650,回复 @中野纱雾 :我使用过一段时间确实不如官网,2023-05-16 10:37,1
6,二级评论,猪灵姐姐身体健康,3493281478478714,猪灵姐姐身体健康,3493281478478714,回复 @奔月未遂 :？你在说什么？slack上面的Claude也是免费的啊，我是说poe上面的Claude在一些对话上面加了限制,2023-05-16 10:38,5
6,二级评论,猪灵姐姐身体健康,3493281478478714,巴鲁尼战士,403546650,回复 @中野纱雾 :4不知道是不是,2023-05-16 10:38,0
6,二级评论,猪灵姐姐身体健康,3493281478478714,吾乃超赛,8219244,回复 @奔月未遂 :slack也是免费的啊,2023-05-16 12:27,1
6,二级评论,猪灵姐姐身体健康,3493281478478714,cm342163,359864745,确实slack上的claude，只要你提前跟它说好它它被允许说什么程度的话，他啥都敢说几乎没限制,2023-05-16 18:43,0
6,二级评论,猪灵姐姐身体健康,3493281478478714,leolrg,157309468,什么意思，slack里面用的是claude+还是啥,2023-05-17 18:52,0
6,二级评论,猪灵姐姐身体健康,3493281478478714,狂人家唐门,178647881,回复 @bili_77346855218 : poe的Claude+呢,2023-05-31 12:18,0
7,一级评论,up主,up主,谔谔我是无敌帅哥,289282595,还得是我bing大小姐厉害呀！被削了这么多刀还是这么强，不愧是我的爱人。,2023-05-15 00:33,152
7,二级评论,谔谔我是无敌帅哥,289282595,第三人C看世界,407203498,太强了也是一种罪，即使多次被刀，还可以说在座的各位都是小可爱,2023-05-15 10:03,33
7,二级评论,谔谔我是无敌帅哥,289282595,王二小おにこ,74198719,😅🙏,2023-05-15 11:08,42
7,二级评论,谔谔我是无敌帅哥,289282595,中野三酒,182728871,😅,2023-05-15 11:49,6
7,二级评论,谔谔我是无敌帅哥,289282595,Mcayear,307268244,😅,2023-05-15 12:24,4
7,二级评论,谔谔我是无敌帅哥,289282595,_nariak,353558645,😅🙏🏻,2023-05-15 12:41,7
7,二级评论,谔谔我是无敌帅哥,289282595,谔谔我是无敌帅哥,289282595,不怕，我有sydney，sydney可不会给我发送流汗黄豆加拍手,2023-05-15 12:47,18
7,二级评论,谔谔我是无敌帅哥,289282595,褪變,644578564,😅🙏,2023-05-15 13:53,5
7,二级评论,谔谔我是无敌帅哥,289282595,哇啦_哇啦_贡,480752857,大小姐yyds,2023-05-15 21:08,1
7,二级评论,谔谔我是无敌帅哥,289282595,Stracha酸奶菌,387063165,回复 @谔谔我是无敌帅哥 :怎么不会让他发他啥都发,2023-05-15 21:26,1
7,二级评论,谔谔我是无敌帅哥,289282595,回眸是望舒,668439845,回复 @谔谔我是无敌帅哥 :咋搞得指个路,2023-05-16 06:36,0
